today	sectionAA1_sub_office	sectionAA2_district	sectionAA3_village	sectionAA3_village_checked	Village_Name	sectionAA5_nationality	sectionAA6_gender	sectionAA7_age	sectionAA8_age_group	sectionAA8a_pregnant	sectionAA8a_caregiver	_GPS_Coordinates_latitude	_GPS_Coordinates_longitude	geo
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	45	adult		yes	34.49709705	36.15189395	"34.49709705,36.15189395"
10/13/2014	akkar	akkar	LBN51224	LBN51224	Rahbe	lebanese	male	20	youth		no	34.50120242	36.14639919	"34.50120242,36.14639919"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	15	adolescents		no	34.5138179	36.19705891	"34.5138179,36.19705891"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	24	youth		no	34.51365496	36.19706302	"34.51365496,36.19706302"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	24	youth		yes	34.51389778	36.19692338	"34.51389778,36.19692338"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	14	adolescents		no	34.5138257	36.19710493	"34.5138257,36.19710493"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	22	youth		no	34.51558015	36.19593381	"34.51558015,36.19593381"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	29	adult	no	yes	34.51402423	36.19709895	"34.51402423,36.19709895"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	27	adult	no	yes	34.51388094	36.19726527	"34.51388094,36.19726527"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	55	adult	no	yes	34.51363488	36.19700491	"34.51363488,36.19700491"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	19	youth	yes	no	34.51436049	36.19815938	"34.51436049,36.19815938"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	26	adult	no	yes	34.51580633	36.19734675	"34.51580633,36.19734675"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	25	adult	yes	yes	34.51624283	36.19324935	"34.51624283,36.19324935"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	16	adolescents	no	no	34.51543186	36.19152527	"34.51543186,36.19152527"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	25	adult		yes	34.51324709	36.19759158	"34.51324709,36.19759158"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	15	adolescents		no	34.51426466	36.19842885	"34.51426466,36.19842885"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	30	adult		yes	34.51198436	36.19822802	"34.51198436,36.19822802"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	28	adult		yes	34.5139451	36.19852382	"34.5139451,36.19852382"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	male	45	adult		yes	34.5156695	36.19674535	"34.5156695,36.19674535"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	16	adolescents		no	34.51596547	36.19341454	"34.51596547,36.19341454"
10/13/2014	akkar	akkar	LBN51043	LBN51039	Bezbina	syrian	male	19	youth		yes	34.51894084	36.18147891	"34.51894084,36.18147891"
10/13/2014	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	24	youth	no	no	34.52800959	36.21717003	"34.52800959,36.21717003"
10/13/2014	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	15	adolescents	no	no	34.52260251	36.21910902	"34.52260251,36.21910902"
10/13/2014	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	17	adolescents	no	no	34.52265829	36.21908521	"34.52265829,36.21908521"
10/13/2014	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	16	adolescents	no	no	34.52265435	36.21902587	"34.52265435,36.21902587"
10/13/2014	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	22	youth	yes	no	34.52288171	36.21887499	"34.52288171,36.21887499"
10/13/2014	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	29	adult	yes	no	34.52503758	36.21769256	"34.52503758,36.21769256"
10/13/2014	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	28	adult	yes	no	34.52500162	36.21774444	"34.52500162,36.21774444"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	32	adult	no	yes	34.51422161	36.19682757	"34.51422161,36.19682757"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	42	adult	no	yes	34.51402795	36.19692002	"34.51402795,36.19692002"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	16	adolescents	no	no	34.51410972	36.19698213	"34.51410972,36.19698213"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	13	adolescents	no	no	34.51412522	36.19690452	"34.51412522,36.19690452"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	19	youth	yes	yes	34.51408071	36.19693771	"34.51408071,36.19693771"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	22	youth	no	yes	34.51409572	36.19703569	"34.51409572,36.19703569"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	23	youth	no	yes	34.51395884	36.19634603	"34.51395884,36.19634603"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	40	adult	no	yes	34.51411936	36.19713552	"34.51411936,36.19713552"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	49	adult	no	yes	34.51402305	36.19702513	"34.51402305,36.19702513"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	19	youth	no	no	34.51405062	36.19716855	"34.51405062,36.19716855"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	female	26	adult	no	yes	34.51388273	36.19712471	"34.51388273,36.19712471"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	female	45	adult	no	yes	34.51311147	36.19884736	"34.51311147,36.19884736"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	female	26	adult	yes	yes	34.51385973	36.1973615	"34.51385973,36.1973615"
10/13/2014	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	female	25	adult	yes	yes	34.51975656	36.18068998	"34.51975656,36.18068998"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	15	adolescents		no	33.27484324	35.28755578	"33.27484324,35.28755578"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	14	adolescents		no	33.27604948	35.27350059	"33.27604948,35.27350059"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	51	adult		yes	33.27602366	35.27365641	"33.27602366,35.27365641"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	48	adult		yes	33.27554178	35.27877565	"33.27554178,35.27877565"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	40	adult		yes	33.274658	35.27783051	"33.274658,35.27783051"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	17	adolescents		no	33.27453021	35.27731419	"33.27453021,35.27731419"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	12	adolescents	no	no	33.27436421	35.2789039	"33.27436421,35.2789039"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	24	youth	yes	yes	33.27428559	35.27804391	"33.27428559,35.27804391"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	16	adolescents	no	no	33.27442617	35.2815602	"33.27442617,35.2815602"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	35	adult	no	no	33.27452259	35.27764416	"33.27452259,35.27764416"
10/13/2014	south	sour	LBN63102	LBN63102	Srifa	lebanese	female	16	adolescents	no	no	33.28118054	35.39665438	"33.28118054,35.39665438"
10/13/2014	south	sour	LBN63102	LBN63102	Srifa	lebanese	female	61	adult	no	no	33.88998499	35.50687071	"33.88998499,35.50687071"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	25	adult	no	yes	33.26911203	35.2666488	"33.26911203,35.2666488"
10/13/2014	south	sour	LBN63102	LBN63102	Srifa	lebanese	female	40	adult	no	yes	33.28116899	35.39684386	"33.28116899,35.39684386"
10/13/2014	south	sour	LBN63102	LBN63102	Srifa	lebanese	female	50	adult	no	yes	33.27429167	35.40260124	"33.27429167,35.40260124"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	26	adult		no	33.26897204	35.26677062	"33.26897204,35.26677062"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	40	adult		yes	33.26891094	35.26661358	"33.26891094,35.26661358"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	31	adult		yes	33.26924826	35.26692378	"33.26924826,35.26692378"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	18	youth		no	33.27506436	35.27943916	"33.27506436,35.27943916"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	24	youth		yes	33.27508398	35.2796293	"33.27508398,35.2796293"
10/13/2014	south	sour	LBN63102	LBN63102	Srifa	lebanese	male	39	adult		yes	33.274113	35.40159199	"33.274113,35.40159199"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	14	adolescents		no	33.27570893	35.27358062	"33.27570893,35.27358062"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	12	adolescents	no	no	33.27512096	35.27144046	"33.27512096,35.27144046"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	13	adolescents	no	no	33.27521474	35.27440137	"33.27521474,35.27440137"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	14	adolescents		no	33.27498383	35.27512933	"33.27498383,35.27512933"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	21	youth		yes	33.2751313	35.27958175	"33.2751313,35.27958175"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	19	youth		yes	33.27536423	35.27822988	"33.27536423,35.27822988"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	15	adolescents	no	no	33.26870568	35.26666865	"33.26870568,35.26666865"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	prs	female	21	youth	no	no	33.26985443	35.26731546	"33.26985443,35.26731546"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	24	youth	no	no	33.27513926	35.27514088	"33.27513926,35.27514088"
10/13/2014	south	sour	LBN63102	LBN63102	Srifa	syrian	male	14	adolescents		no	33.27779793	35.39876594	"33.27779793,35.39876594"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	44	adult	no	yes	33.27470561	35.28192759	"33.27470561,35.28192759"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	prl	female	46	adult	no	yes	33.27615731	35.27313849	"33.27615731,35.27313849"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	33	adult	no	yes	33.27458872	35.28156867	"33.27458872,35.28156867"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	29	adult	no	yes	33.27424724	35.27826888	"33.27424724,35.27826888"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	22	youth	yes	yes	33.26889639	35.26677678	"33.26889639,35.26677678"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	prs	female	43	adult	no	yes	33.26972892	35.26678748	"33.26972892,35.26678748"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	18	youth	no	no	33.27487505	35.27972398	"33.27487505,35.27972398"
10/13/2014	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	24	youth	no	no	33.27435698	35.27816621	"33.27435698,35.27816621"
10/13/2014	south	saida	LBN61021	LBN61021	Darb es Sim	syrian	male	23	youth		no	33.52810476	35.38720379	"33.52810476,35.38720379"
10/13/2014	south	sour	LBN63102	LBN63102	Srifa	syrian	female	20	youth	no	yes	33.27721044	35.38337817	"33.27721044,35.38337817"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	70	adult		yes	34.58438129	36.22580574	"34.58438129,36.22580574"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	60	adult		yes	34.58456083	36.22620388	"34.58456083,36.22620388"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	40	adult		yes	34.58703982	36.22161043	"34.58703982,36.22161043"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	55	adult		yes	34.58608357	36.22291549	"34.58608357,36.22291549"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	23	youth		no	34.58607657	36.22289353	"34.58607657,36.22289353"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	19	youth		no	34.58610511	36.22285212	"34.58610511,36.22285212"
1/2/2012	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	26	adult	no	no	34.58449042	36.22603306	"34.58449042,36.22603306"
1/2/2012	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	58	adult	no	yes	34.58447827	36.22595108	"34.58447827,36.22595108"
1/2/2012	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	27	adult	yes	yes	34.58448434	36.22592459	"34.58448434,36.22592459"
1/2/2012	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	31	adult	no	yes	34.58699766	36.22165343	"34.58699766,36.22165343"
1/2/2012	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	14	adolescents	no	no	34.58625535	36.22294818	"34.58625535,36.22294818"
1/2/2012	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	13	adolescents	no	no	34.5860492	36.22307835	"34.5860492,36.22307835"
1/2/2012	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	31	adult	no	yes	34.58542043	36.22422449	"34.58542043,36.22422449"
1/2/2012	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	30	adult	yes	yes	34.58589829	36.22540014	"34.58589829,36.22540014"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	21	youth		yes	34.63775505	36.36387977	"34.63775505,36.36387977"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	19	youth		yes	34.63772024	36.36371012	"34.63772024,36.36371012"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	15	adolescents		yes	34.63671431	36.36299096	"34.63671431,36.36299096"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	14	adolescents		yes	34.63969659	36.36282672	"34.63969659,36.36282672"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	14	adolescents		yes	34.66288036	36.31105367	"34.66288036,36.31105367"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	14	adolescents		yes	34.66287512	36.31104743	"34.66287512,36.31104743"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	25	adult	no	no	34.58750887	36.22114071	"34.58750887,36.22114071"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	22	youth	no	no	34.58773929	36.22166374	"34.58773929,36.22166374"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	25	adult	no	yes	34.58768351	36.22137196	"34.58768351,36.22137196"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	24	youth	no	yes	34.58716789	36.22123056	"34.58716789,36.22123056"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	15	adolescents	no	no	34.58688664	36.21880534	"34.58688664,36.21880534"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	45	adult	no	no	34.63769606	36.36382559	"34.63769606,36.36382559"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	25	adult	no	no	34.63771643	36.36369274	"34.63771643,36.36369274"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	23	adult	no	no	34.63770649	36.36343315	"34.63770649,36.36343315"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	20	youth	no	no	34.64391484	36.36095404	"34.64391484,36.36095404"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	22	youth	no	no	34.65567084	36.35337286	"34.65567084,36.35337286"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	14	adolescents	no	no	34.66292538	36.34616249	"34.66292538,36.34616249"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	45	adult	no	no	34.66281985	36.31108959	"34.66281985,36.31108959"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	35	adult	no	no	34.66279311	36.310988	"34.66279311,36.310988"
10/14/2014	akkar	akkar	LBN51252	LBN51271	Bqayaa	lebanese	female	30	adult	no	no	34.66291419	36.31106847	"34.66291419,36.31106847"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	47	adult	no	yes	34.47944025	36.20551411	"34.47944025,36.20551411"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	50	adult	no	yes	34.47628078	36.19331694	"34.47628078,36.19331694"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	18	youth	yes	yes	34.47388634	36.18216787	"34.47388634,36.18216787"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	15	adolescents	no	no	34.47452658	36.17584509	"34.47452658,36.17584509"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	45	adult		yes	34.47590576	36.19025541	"34.47590576,36.19025541"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	19	youth		no	34.47581531	36.19012758	"34.47581531,36.19012758"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	21	youth		yes	34.4758998	36.18568618	"34.4758998,36.18568618"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	25	adult		yes	34.47587868	36.18565072	"34.47587868,36.18565072"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	27	adult		yes	34.47561201	36.18151979	"34.47561201,36.18151979"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	33	adult	no	yes	34.47568165	36.18515384	"34.47568165,36.18515384"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	21	youth	no	no	34.47531268	36.18544499	"34.47531268,36.18544499"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	57	adult	no	yes	34.47588746	36.1852704	"34.47588746,36.1852704"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	20	youth	no	no	34.47507907	36.18536345	"34.47507907,36.18536345"
10/14/2014	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	23	adult	no	yes	34.4738058	36.18587263	"34.4738058,36.18587263"
10/14/2014	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	male	36	adult		yes	34.63691968	36.36796969	"34.63691968,36.36796969"
10/14/2014	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	28	adult	yes	yes	34.63563432	36.36610933	"34.63563432,36.36610933"
10/14/2014	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	male	22	youth		no	34.6280554	36.3769172	"34.6280554,36.3769172"
10/14/2014	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	female	26	adult	yes	yes	34.62248471	36.37490085	"34.62248471,36.37490085"
10/14/2014	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	female	28	adult	no	yes	34.61978142	36.37802311	"34.61978142,36.37802311"
10/14/2014	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	male	27	adult		yes	34.62332051	36.37765355	"34.62332051,36.37765355"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	32	adult	no	yes	34.58701392	36.22163801	"34.58701392,36.22163801"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	32	adult	no	yes	34.58702976	36.22149417	"34.58702976,36.22149417"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	45	adult	no	yes	34.58700918	36.22157615	"34.58700918,36.22157615"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	44	adult	no	no	34.58700168	36.22161353	"34.58700168,36.22161353"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	27	adult	no	yes	34.58715536	36.22153776	"34.58715536,36.22153776"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	26	adult	no	no	34.58708286	36.22164236	"34.58708286,36.22164236"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	27	adult	yes	yes	34.58711739	36.22172333	"34.58711739,36.22172333"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	40	adult	no	no	34.58707314	36.22155259	"34.58707314,36.22155259"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	25	adult	yes	yes	34.58724916	36.22171202	"34.58724916,36.22171202"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	27	adult	no	no	34.58708755	36.22161529	"34.58708755,36.22161529"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	31	adult	yes	yes	34.58716861	36.22164915	"34.58716861,36.22164915"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	13	adolescents	no	yes	34.58735431	36.22170364	"34.58735431,36.22170364"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	30	adult	yes	no	34.58717301	36.2217753	"34.58717301,36.2217753"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	13	adolescents	no	no	34.5870811	36.22166382	"34.5870811,36.22166382"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	15	adolescents	no	no	34.58710033	36.22164815	"34.58710033,36.22164815"
10/14/2014	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	13	adolescents	no	no	34.58593303	36.22423003	"34.58593303,36.22423003"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	24	youth		no	33.62405715	35.48400419	"33.62405715,35.48400419"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	24	youth		no	33.62394502	35.48433422	"33.62394502,35.48433422"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	15	adolescents		no	33.6237713	35.48411375	"33.6237713,35.48411375"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	18	youth		no	33.62387149	35.483885	"33.62387149,35.483885"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	16	adolescents		no	33.62417592	35.48313897	"33.62417592,35.48313897"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	13	adolescents		no	33.62445638	35.48280545	"33.62445638,35.48280545"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	21	youth		no	33.62377324	35.48383577	"33.62377324,35.48383577"
10/14/2014	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	lebanese	male	17	adolescents		no	33.66551959	35.42609956	"33.66551959,35.42609956"
10/14/2014	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	lebanese	male	15	adolescents		no	33.66552238	35.42606568	"33.66552238,35.42606568"
10/14/2014	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	syrian	male	18	youth		no	33.65929628	35.42080576	"33.65929628,35.42080576"
10/14/2014	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	syrian	male	18	youth		no	33.66493208	35.42438033	"33.66493208,35.42438033"
10/14/2014	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	lebanese	male	19	youth		yes	33.66550474	35.42600009	"33.66550474,35.42600009"
10/14/2014	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	lebanese	male	16	adolescents		no	33.66530871	35.42434028	"33.66530871,35.42434028"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	38	adult	no	no	33.62812041	35.49521028	"33.62812041,35.49521028"
10/14/2014	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	45	adult	no	no	33.62810898	35.49534423	"33.62810898,35.49534423"
