today	sectionAA1_sub_office	sectionAA2_district	sectionAA3_village	sectionAA3_village_checked	Village Name	sectionAA5_nationality	sectionAA6_gender	sectionAA7_age	sectionAA8_age_group	sectionAA8a_pregnant	sectionAA8a_caregiver	_GPS_Coordinates_latitude	_GPS_Coordinates_longitude
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	male	45	adult		yes	34.5156695	36.19674535
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	male	16	adolescents		no	34.51596547	36.19341454
2014-10-13	akkar	akkar	LBN51043	LBN51039	Bezbina	syrian	male	19	youth		yes	34.51894084	36.18147891
2014-10-13	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	24	youth	no	no	34.52800959	36.21717003
2014-10-13	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	15	adolescents	no	no	34.52260251	36.21910902
2014-10-13	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	17	adolescents	no	no	34.52265829	36.21908521
2014-10-13	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	16	adolescents	no	no	34.52265435	36.21902587
2014-10-13	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	22	youth	yes	no	34.52288171	36.21887499
2014-10-13	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	29	adult	yes	no	34.52503758	36.21769256
2014-10-13	akkar	akkar	LBN51272	LBN51004	Aaklar El Attiqa	lebanese	female	28	adult	yes	no	34.52500162	36.21774444
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	32	adult	no	yes	34.51422161	36.19682757
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	42	adult	no	yes	34.51402795	36.19692002
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	16	adolescents	no	no	34.51410972	36.19698213
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	13	adolescents	no	no	34.51412522	36.19690452
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	19	youth	yes	yes	34.51408071	36.19693771
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	22	youth	no	yes	34.51409572	36.19703569
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	23	youth	no	yes	34.51395884	36.19634603
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	40	adult	no	yes	34.51411936	36.19713552
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	49	adult	no	yes	34.51402305	36.19702513
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	syrian	female	19	youth	no	no	34.51405062	36.19716855
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	female	26	adult	no	yes	34.51388273	36.19712471
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	female	45	adult	no	yes	34.51311147	36.19884736
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	female	26	adult	yes	yes	34.51385973	36.1973615
2014-10-13	akkar	akkar	LBN51039	LBN51039	Bezbina	lebanese	female	25	adult	yes	yes	34.51975656	36.18068998
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	15	adolescents		no	33.27484324	35.28755578
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	14	adolescents		no	33.27604948	35.27350059
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	51	adult		yes	33.27602366	35.27365641
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	48	adult		yes	33.27554178	35.27877565
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	40	adult		yes	33.274658	35.27783051
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	17	adolescents		no	33.27453021	35.27731419
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	12	adolescents	no	no	33.27436421	35.2789039
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	24	youth	yes	yes	33.27428559	35.27804391
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	16	adolescents	no	no	33.27442617	35.2815602
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	35	adult	no	no	33.27452259	35.27764416
2014-10-13	south	sour	LBN63102	LBN63102	Srifa	lebanese	female	16	adolescents	no	no	33.28118054	35.39665438
2014-10-13	south	sour	LBN63102	LBN63102	Srifa	lebanese	female	61	adult	no	no	33.88998499	35.50687071
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	25	adult	no	yes	33.26911203	35.2666488
2014-10-13	south	sour	LBN63102	LBN63102	Srifa	lebanese	female	40	adult	no	yes	33.28116899	35.39684386
2014-10-13	south	sour	LBN63102	LBN63102	Srifa	lebanese	female	50	adult	no	yes	33.27429167	35.40260124
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	26	adult		no	33.26897204	35.26677062
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	40	adult		yes	33.26891094	35.26661358
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	31	adult		yes	33.26924826	35.26692378
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	18	youth		no	33.27506436	35.27943916
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	male	24	youth		yes	33.27508398	35.2796293
2014-10-13	south	sour	LBN63102	LBN63102	Srifa	lebanese	male	39	adult		yes	33.274113	35.40159199
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	14	adolescents		no	33.27570893	35.27358062
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	12	adolescents	no	no	33.27512096	35.27144046
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	13	adolescents	no	no	33.27521474	35.27440137
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	14	adolescents		no	33.27498383	35.27512933
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	21	youth		yes	33.2751313	35.27958175
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	male	19	youth		yes	33.27536423	35.27822988
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	15	adolescents	no	no	33.26870568	35.26666865
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	prs	female	21	youth	no	no	33.26985443	35.26731546
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	24	youth	no	no	33.27513926	35.27514088
2014-10-13	south	sour	LBN63102	LBN63102	Srifa	syrian	male	14	adolescents		no	33.27779793	35.39876594
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	44	adult	no	yes	33.27470561	35.28192759
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	prl	female	46	adult	no	yes	33.27615731	35.27313849
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	33	adult	no	yes	33.27458872	35.28156867
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	29	adult	no	yes	33.27424724	35.27826888
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	syrian	female	22	youth	yes	yes	33.26889639	35.26677678
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	prs	female	43	adult	no	yes	33.26972892	35.26678748
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	18	youth	no	no	33.27487505	35.27972398
2014-10-13	south	sour	LBN63104	LBN63104	Tair Debba	lebanese	female	24	youth	no	no	33.27435698	35.27816621
2014-10-13	south	saida	LBN61021	LBN61021	Darb es Sim	syrian	male	23	youth		no	33.52810476	35.38720379
2014-10-13	south	sour	LBN63102	LBN63102	Srifa	syrian	female	20	youth	no	yes	33.27721044	35.38337817
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	70	adult		yes	34.58438129	36.22580574
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	60	adult		yes	34.58456083	36.22620388
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	40	adult		yes	34.58703982	36.22161043
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	55	adult		yes	34.58608357	36.22291549
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	23	youth		no	34.58607657	36.22289353
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	male	19	youth		no	34.58610511	36.22285212
2012-01-02	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	26	adult	no	no	34.58449042	36.22603306
2012-01-02	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	58	adult	no	yes	34.58447827	36.22595108
2012-01-02	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	27	adult	yes	yes	34.58448434	36.22592459
2012-01-02	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	31	adult	no	yes	34.58699766	36.22165343
2012-01-02	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	14	adolescents	no	no	34.58625535	36.22294818
2012-01-02	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	13	adolescents	no	no	34.5860492	36.22307835
2012-01-02	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	31	adult	no	yes	34.58542043	36.22422449
2012-01-02	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	30	adult	yes	yes	34.58589829	36.22540014
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	21	youth		yes	34.63775505	36.36387977
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	19	youth		yes	34.63772024	36.36371012
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	15	adolescents		yes	34.63671431	36.36299096
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	14	adolescents		yes	34.63969659	36.36282672
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	14	adolescents		yes	34.66288036	36.31105367
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	male	14	adolescents		yes	34.66287512	36.31104743
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	25	adult	no	no	34.58750887	36.22114071
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	22	youth	no	no	34.58773929	36.22166374
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	25	adult	no	yes	34.58768351	36.22137196
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	24	youth	no	yes	34.58716789	36.22123056
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	lebanese	female	15	adolescents	no	no	34.58688664	36.21880534
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	45	adult	no	no	34.63769606	36.36382559
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	25	adult	no	no	34.63771643	36.36369274
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	23	adult	no	no	34.63770649	36.36343315
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	20	youth	no	no	34.64391484	36.36095404
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	22	youth	no	no	34.65567084	36.35337286
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	14	adolescents	no	no	34.66292538	36.34616249
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	45	adult	no	no	34.66281985	36.31108959
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	35	adult	no	no	34.66279311	36.310988
2014-10-14	akkar	akkar	LBN51252	LBN51271	Bqayaa	lebanese	female	30	adult	no	no	34.66291419	36.31106847
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	47	adult	no	yes	34.47944025	36.20551411
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	50	adult	no	yes	34.47628078	36.19331694
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	18	youth	yes	yes	34.47388634	36.18216787
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	15	adolescents	no	no	34.47452658	36.17584509
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	45	adult		yes	34.47590576	36.19025541
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	19	youth		no	34.47581531	36.19012758
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	21	youth		yes	34.4758998	36.18568618
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	25	adult		yes	34.47587868	36.18565072
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	male	27	adult		yes	34.47561201	36.18151979
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	33	adult	no	yes	34.47568165	36.18515384
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	21	youth	no	no	34.47531268	36.18544499
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	57	adult	no	yes	34.47588746	36.1852704
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	20	youth	no	no	34.47507907	36.18536345
2014-10-14	akkar	akkar	LBN51130	LBN51130	Fnaideq	lebanese	female	23	adult	no	yes	34.4738058	36.18587263
2014-10-14	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	male	36	adult		yes	34.63691968	36.36796969
2014-10-14	akkar	akkar	LBN51252	LBN51195	Mqaible	lebanese	female	28	adult	yes	yes	34.63563432	36.36610933
2014-10-14	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	male	22	youth		no	34.6280554	36.3769172
2014-10-14	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	female	26	adult	yes	yes	34.62248471	36.37490085
2014-10-14	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	female	28	adult	no	yes	34.61978142	36.37802311
2014-10-14	akkar	akkar	LBN51252	LBN51252	Wadi Khaled	lebanese	male	27	adult		yes	34.62332051	36.37765355
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	32	adult	no	yes	34.58701392	36.22163801
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	32	adult	no	yes	34.58702976	36.22149417
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	45	adult	no	yes	34.58700918	36.22157615
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	44	adult	no	no	34.58700168	36.22161353
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	27	adult	no	yes	34.58715536	36.22153776
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	26	adult	no	no	34.58708286	36.22164236
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	27	adult	yes	yes	34.58711739	36.22172333
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	40	adult	no	no	34.58707314	36.22155259
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	25	adult	yes	yes	34.58724916	36.22171202
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	27	adult	no	no	34.58708755	36.22161529
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	31	adult	yes	yes	34.58716861	36.22164915
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	13	adolescents	no	yes	34.58735431	36.22170364
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	30	adult	yes	no	34.58717301	36.2217753
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	13	adolescents	no	no	34.5870811	36.22166382
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	15	adolescents	no	no	34.58710033	36.22164815
2014-10-14	akkar	akkar	LBN51168	LBN51168	Khirbet Daoud	syrian	female	13	adolescents	no	no	34.58593303	36.22423003
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	24	youth		no	33.62405715	35.48400419
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	24	youth		no	33.62394502	35.48433422
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	15	adolescents		no	33.6237713	35.48411375
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	18	youth		no	33.62387149	35.483885
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	16	adolescents		no	33.62417592	35.48313897
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	13	adolescents		no	33.62445638	35.48280545
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	21	youth		no	33.62377324	35.48383577
2014-10-14	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	lebanese	male	17	adolescents		no	33.66551959	35.42609956
2014-10-14	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	lebanese	male	15	adolescents		no	33.66552238	35.42606568
2014-10-14	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	syrian	male	18	youth		no	33.65929628	35.42080576
2014-10-14	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	syrian	male	18	youth		no	33.66493208	35.42438033
2014-10-14	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	lebanese	male	19	youth		yes	33.66550474	35.42600009
2014-10-14	beirut_lbn	chouf	LBN33109	LBN33109	Jiye	lebanese	male	16	adolescents		no	33.66530871	35.42434028
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	38	adult	no	no	33.62812041	35.49521028
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	45	adult	no	no	33.62810898	35.49534423
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	54	adult	no	no	33.62792746	35.4953814
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	39	adult	no	yes	33.62817137	35.49523682
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	36	adult	no	yes	33.63283484	35.49650318
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	31	adult	no	yes	33.63274942	35.49619942
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	30	adult	no	yes	33.62759174	35.49102113
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	female	23	youth	yes	yes	33.62434737	35.48646726
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	female	43	adult	no	no	33.64899402	35.44297425
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	syrian	female	27	adult	yes	yes	33.64918763	35.4429842
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	syrian	female	29	adult	yes	yes	33.64912138	35.44300252
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	syrian	female	23	adult	yes	yes	33.64923796	35.44302363
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	syrian	female	31	adult	yes	yes	33.64888616	35.44288388
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	female	13	adolescents	no	no	33.62363046	35.48457942
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	female	13	adolescents	no	no	33.62326518	35.48172913
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	female	20	youth	yes	no	33.62337619	35.48179548
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	female	18	youth	yes	no	33.62337276	35.48193472
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	female	15	adolescents	no	no	33.62338247	35.48182606
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	female	16	adolescents	no	no	33.6252428	35.47905484
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	female	22	youth	no	no	33.62503567	35.47912295
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	syrian	female	18	youth	no	no	33.6488185	35.44224329
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	female	24	youth	no	no	33.62509937	35.47906754
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	syrian	female	30	adult	no	yes	33.64906544	35.44269614
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	syrian	female	48	adult	no	yes	33.64926846	35.44261854
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	female	14	adolescents	no	no	33.64494205	35.44010284
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	33	adult		yes	33.62391854	35.48456811
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	male	66	adult		yes	33.62422421	35.48502942
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	47	adult		yes	33.62330987	35.48353229
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	60	adult		yes	33.6241511	35.4816695
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	male	40	adult		no	33.62379407	35.48309326
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	male	60	adult		yes	33.62364599	35.48362547
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	syrian	male	26	adult		yes	33.62433979	35.48313778
2014-10-14	beirut_lbn	chouf	LBN33045	LBN33045	Chhime	lebanese	male	92	adult		yes	33.62380123	35.48413525
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	female	40	youth	no	yes	33.64304202	35.43651216
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	female	45	adult	no	yes	33.64386793	35.43790833
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	female	45	adult	no	yes	33.64411874	35.43768633
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	syrian	female	35	adult	no	yes	33.63994577	35.4352259
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	male	15	adolescents		no	33.6430376	35.4364576
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	male	13	adolescents		no	33.64332891	35.43679362
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	male	33	adult		yes	33.64400226	35.43779294
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	male	32	adult		no	33.64687997	35.43970052
2014-10-14	beirut_lbn	chouf	LBN33024	LBN33024	Barja	lebanese	male	30	adult		no	33.64506884	35.4391944
